,name,email,phone_num,college_regno
45,Drishya Arya,Arya_Drishya@comcast.net,81600-74538,2013AETC8388419
46,Neysa Sagar,NeysaSagar@rediffmail.com,71137-42408,2013AETX5978053
47,Siya Bava,SiyaBava@hotmail.com,77352-98638,2017AIFT6465726
48,Ranbir Raj,Ranbir_Raj@mail.com,70793-63222,2021AETX0231665
49,Zoya Grover,ZoyaGrover@rediffmail.com,87499-51417,2021AETX6443054
50,Miraan Bose,MiraanBose@gmail.com,98582-97818,2019ACSC3400272
51,Diya Ramakrishnan,Diya_Ramakrishnan@zoho.com,73829-33170,2016ACSC2416654
52,Faiyaz Wali,FWali@yahoo.com,73365-97323,2013AETX1527059
53,Darshit Kumar,Darshit.Kumar92@yahoo.com,81127-03738,2010AIFT6824223
54,Misha Warrior,MishaWarrior@outlook.com,80476-76684,2021ACSC9556752
55,Hiran Kuruvilla,Hiran.Kuruvilla@yahoo.com,90907-48422,2014AETC3606137
56,Kismat Balasubramanian,KismatBalasubramanian@att.com,86485-90565,2012AIFT9140094
57,Charvi Magar,Charvi.M@comcast.net,86216-55504,2020ACSC6416175
58,Siya Choudhary,Siya.C@yandex.com,94031-66478,2010AETC3249127
59,Indranil Rau,IRau@aol.com,86093-40679,2013AIFT8743173
60,Shlok Lad,SLad59@rediffmail.com,80325-05930,2019ACIV8123351
61,Rhea Kakar,Rhea.K5@verizon.com,72206-12398,2020AETC3982000
62,Nishith Balasubramanian,NBalasubramanian@mail.com,87172-50634,2015AIFT9209365
63,Samaira Shenoy,Shenoy.Samaira@zoho.com,83600-61244,2016AETC0567727
64,Mehul Sankaran,Mehul_S7@aol.com,89788-86185,2019AIFT0507244
65,Ritvik Dixit,Ritvik_D@verizon.com,85519-91268,2013AETX7012465
66,Veer Basu,Basu.Veer12@outlook.com,85972-84741,2017AETX4227080
67,Vidur Sastry,Sastry.Vidur@protonmail.com,81687-86250,2022AETC7155731
68,Gatik Sahota,Sahota_Gatik@rediffmail.com,91899-38917,2015AIFT2864302
69,Samarth Sehgal,Samarth_Sehgal@mail.com,93134-96056,2020AIFT4900706
70,Shray Chana,ShrayChana@verizon.com,70206-71414,2019AETX8066255
71,Ryan Arya,RyanArya@hotmail.com,88765-59826,2021AIFT4368415
72,Tushar Chhabra,TusharChhabra@gmail.com,79796-36411,2021AIFT6438722
73,Vihaan Golla,Golla.Vihaan@protonmail.com,73307-92459,2012ACSC4788672
74,Gokul Halder,GokulHalder@att.com,80433-45837,2015AIFT4103916
75,Jayesh Balan,Balan.Jayesh@raisoni.net,98563-94513,2013AIFT3145227
76,Akarsh Gala,Akarsh.G39@rediffmail.com,89701-65340,2011ACSC2999786
77,Dishani Basak,Dishani_B@yahoo.com,70523-67381,2014ACIV1296338
78,Adira Sodhi,Adira_S@att.com,86859-06625,2016ACSC2498990
79,Nirvaan Bhalla,Bhalla.Nirvaan@rediffmail.com,81952-46250,2017ACSC8522664
80,Yuvraj  Deo,YDeo@hotmail.com,93135-36913,2014ACSC6195523
81,Vaibhav Banerjee,Vaibhav.B@xfinity.com,96636-19687,2016AETC9709789
82,Ayesha Chaudhuri,Ayesha.C@outlook.com,95639-30343,2010ACSC4217104
83,Amani Dixit,Amani_D@verizon.com,91974-07986,2013ACSC0289808
84,Ivana Chada,Ivana.Chada@gmail.com,88889-86597,2022ACIV3402504
85,Riaan Ghosh,RiaanGhosh@mail.com,75429-59921,2015AETC8025702
86,Ojas Kunda,Ojas_K@verizon.com,70540-59760,2010ACSC7213778
87,Sana Shankar,Sana.Shankar97@gmail.com,81496-50502,2022AIFT9747101
88,Zaina Sachar,Zaina.S@att.com,87918-27157,2021ACSC3027295
89,Nitara Sawhney,Nitara.Sawhney@verizon.com,84612-22899,2015ACIV8083439
90,Urvi Karnik,Karnik.Urvi@rediffmail.com,76733-09676,2017ACSC9607879
91,Zeeshan Vyas,ZeeshanVyas52@comcast.net,87464-22374,2010AETC9689005
92,Sumer Sahota,SumerSahota@mail.com,82147-65179,2012AETX4870000
93,Shlok Goel,ShlokGoel89@xfinity.com,97008-69675,2010AETC0015751
94,Mahika Deshpande,Deshpande.Mahika62@hotmail.com,73662-10497,2018ACSC9958294
95,Bhamini Khatri,Bhamini.K@xfinity.com,80035-89295,2011ACIV4920718
96,Yashvi Chaudhary,YChaudhary58@mail.com,84938-57367,2013ACSC0564340
97,Adah D’Alia,Adah_D’Alia40@raisoni.net,92715-24625,2017AETX5490003
98,Anya Gera,AGera@hotmail.com,81826-67836,2020AETC6866832
99,Madhav Contractor,Madhav_C37@comcast.net,93313-17753,2020AIFT2665711
